CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
2e203d1354f2   dazzling_mccarthy                92.47%    85.46MiB / 7.761GiB   1.08%     696B / 0B         0B / 12.1MB      20
d80388baf969   keen_brahmagupta                 102.28%   76.33MiB / 7.761GiB   0.96%     806B / 0B         0B / 13.1MB      17
55c693e27f01   peer0.org2.example.com           0.83%     44.32MiB / 7.761GiB   0.56%     70.3kB / 32.7kB   0B / 180kB       10
60a7d0f0447c   peer0.org1.example.com           0.76%     44.46MiB / 7.761GiB   0.56%     71.5kB / 32.7kB   0B / 180kB       11
ca2f120233b1   orderer0.example.com             0.06%     14.1MiB / 7.761GiB    0.18%     14.9kB / 24.1kB   0B / 123kB       10
a5121fcaceac   couchdb.peer0.org2.example.com   0.27%     37.77MiB / 7.761GiB   0.48%     23.6kB / 21.8kB   0B / 762kB       41
441c2c79ca9f   couchdb.peer0.org1.example.com   0.28%     37.79MiB / 7.761GiB   0.48%     24kB / 22.3kB     0B / 762kB       41
eef497725215   ca.org1.example.com              0.00%     7.719MiB / 7.761GiB   0.10%     2.94kB / 5.89kB   123kB / 446kB    7
9e9554808b54   ca.org2.example.com              0.00%     7.152MiB / 7.761GiB   0.09%     3.01kB / 5.89kB   12.3kB / 446kB   7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
57e42c30a492   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.992MiB / 2GiB       0.29%     4.05kB / 2.59kB   0B / 0B          7
6056152afdc6   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.91MiB / 2GiB        0.29%     4.09kB / 2.42kB   0B / 0B          7
f350bf6a10c2   dev-peer0.org2.example.com-simple-v0      0.00%     5.871MiB / 2GiB       0.29%     4.23kB / 2.49kB   0B / 0B          7
2916ba1fe335   dev-peer0.org1.example.com-simple-v0      0.01%     5.953MiB / 2GiB       0.29%     4.39kB / 2.57kB   0B / 0B          7
c604c6d7ba4c   dev-peer0.org1.example.com-drm-v0         0.00%     5.91MiB / 2GiB        0.29%     4.65kB / 2.81kB   0B / 0B          7
eacd4cec3a12   dev-peer0.org2.example.com-drm-v0         0.00%     6.039MiB / 2GiB       0.29%     4.76kB / 2.7kB    0B / 0B          7
03f5d137b15c   dev-peer0.org1.example.com-marbles-v0     2.89%     7.598MiB / 2GiB       0.37%     1.31MB / 537kB    0B / 0B          7
8495a7dfa093   dev-peer0.org2.example.com-marbles-v0     2.81%     7.996MiB / 2GiB       0.39%     1.24MB / 480kB    0B / 0B          7
55c693e27f01   peer0.org2.example.com                    20.71%    203.5MiB / 7.761GiB   2.56%     4.45MB / 2.79MB   0B / 1.52MB      14
60a7d0f0447c   peer0.org1.example.com                    22.18%    203.4MiB / 7.761GiB   2.56%     4.57MB / 3.51MB   0B / 1.52MB      13
ca2f120233b1   orderer0.example.com                      4.61%     29.03MiB / 7.761GiB   0.37%     2.36MB / 4.53MB   0B / 4.8MB       10
a5121fcaceac   couchdb.peer0.org2.example.com            14.92%    50.42MiB / 7.761GiB   0.63%     527kB / 503kB     0B / 2.33MB      41
441c2c79ca9f   couchdb.peer0.org1.example.com            14.35%    49.33MiB / 7.761GiB   0.62%     488kB / 511kB     0B / 2.33MB      41
eef497725215   ca.org1.example.com                       0.00%     7.719MiB / 7.761GiB   0.10%     3.48kB / 5.89kB   123kB / 446kB    7
9e9554808b54   ca.org2.example.com                       0.00%     7.195MiB / 7.761GiB   0.09%     3.48kB / 5.89kB   12.3kB / 446kB   8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
57e42c30a492   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.992MiB / 2GiB       0.29%     4.12kB / 2.59kB   0B / 0B          7
6056152afdc6   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.91MiB / 2GiB        0.29%     4.09kB / 2.42kB   0B / 0B          7
f350bf6a10c2   dev-peer0.org2.example.com-simple-v0      0.00%     5.871MiB / 2GiB       0.29%     4.29kB / 2.56kB   0B / 0B          7
2916ba1fe335   dev-peer0.org1.example.com-simple-v0      0.00%     5.953MiB / 2GiB       0.29%     4.53kB / 2.64kB   0B / 0B          7
c604c6d7ba4c   dev-peer0.org1.example.com-drm-v0         0.00%     5.91MiB / 2GiB        0.29%     4.69kB / 2.85kB   0B / 0B          7
eacd4cec3a12   dev-peer0.org2.example.com-drm-v0         0.00%     6.039MiB / 2GiB       0.29%     4.76kB / 2.7kB    0B / 0B          7
03f5d137b15c   dev-peer0.org1.example.com-marbles-v0     0.00%     9.254MiB / 2GiB       0.45%     1.72MB / 783kB    0B / 0B          7
