CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2740b3ae91f1   couchdb.peer0.org2.example.com   45.45%    27.38MiB / 7.761GiB   0.34%     516B / 0B         2.51MB / 12.3kB   39
a10b4c8e3b3d   ca.org1.example.com              0.00%     8.543MiB / 7.761GiB   0.11%     516B / 0B         283kB / 389kB     7
3bcdda778f36   couchdb.peer0.org1.example.com   55.84%    54.02MiB / 7.761GiB   0.68%     736B / 0B         22.7MB / 98.3kB   41
38cb3dc19b01   ca.org2.example.com              0.00%     8.891MiB / 7.761GiB   0.11%     846B / 0B         19.5MB / 389kB    8
311c54469bf3   orderer0.example.com             0.08%     12.25MiB / 7.761GiB   0.15%     516B / 0B         22.5MB / 41kB     9
3712cedc8005   peer0.org1.example.com           4.81%     37.07MiB / 7.761GiB   0.47%     2.77kB / 1.49kB   28.7MB / 57.3kB   10
2107d2f58c8f   peer0.org2.example.com           0.92%     8.699MiB / 7.761GiB   0.11%     2.76kB / 1.49kB   537kB / 57.3kB    9
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
ad8921bcc761   dev-peer0.org1.example.com-smallbank-v0   0.00%     6.094MiB / 2GiB       0.30%     3.81kB / 2.18kB   0B / 0B           7
2acdc7440876   dev-peer0.org2.example.com-smallbank-v0   0.00%     6.715MiB / 2GiB       0.33%     3.81kB / 2.18kB   0B / 0B           6
34414dc16213   dev-peer0.org2.example.com-simple-v0      0.00%     5.879MiB / 2GiB       0.29%     4.29kB / 2.38kB   0B / 0B           7
9bac18b16d22   dev-peer0.org1.example.com-simple-v0      0.00%     5.859MiB / 2GiB       0.29%     4.49kB / 2.65kB   0B / 0B           7
14cc3d1d7938   dev-peer0.org1.example.com-drm-v0         0.00%     5.938MiB / 2GiB       0.29%     4.53kB / 2.56kB   0B / 0B           7
a988b9699b02   dev-peer0.org2.example.com-drm-v0         0.00%     5.902MiB / 2GiB       0.29%     4.62kB / 2.66kB   0B / 0B           6
0dfe6abd1560   dev-peer0.org1.example.com-marbles-v0     0.14%     6.316MiB / 2GiB       0.31%     471kB / 226kB     0B / 0B           7
