CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
6bb104f8ce95   peer0.org1.example.com           0.98%     43.6MiB / 7.761GiB    0.55%     39.3kB / 22.2kB   0B / 156kB      10
6e91a7bbccde   peer0.org2.example.com           0.83%     43.28MiB / 7.761GiB   0.54%     39.2kB / 22.1kB   0B / 156kB      10
938ea455601a   orderer0.example.com             0.05%     14.28MiB / 7.761GiB   0.18%     8.74kB / 20kB     0B / 123kB      10
dc2f7c528ccf   couchdb.peer0.org1.example.com   2.20%     37.27MiB / 7.761GiB   0.47%     21.5kB / 19.2kB   0B / 618kB      41
3d5780825209   couchdb.peer0.org2.example.com   0.27%     36.77MiB / 7.761GiB   0.46%     21kB / 19.2kB     0B / 618kB      41
f249c28e8910   ca.org2.example.com              0.00%     8.32MiB / 7.761GiB    0.10%     3.01kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com              0.00%     8.289MiB / 7.761GiB   0.10%     2.96kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
3645df11fd05   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.879MiB / 2GiB       0.29%     4.3kB / 2.44kB    0B / 0B         6
b0b1c84cb1ec   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     4.04kB / 2.32kB   0B / 0B         7
e390d53a2ab5   dev-peer0.org2.example.com-simple-v0      0.00%     5.922MiB / 2GiB       0.29%     4.44kB / 2.64kB   0B / 0B         7
9bea8eac4eae   dev-peer0.org1.example.com-simple-v0      0.00%     6.047MiB / 2GiB       0.30%     4.32kB / 2.44kB   0B / 0B         7
39281915bd69   dev-peer0.org1.example.com-drm-v0         0.00%     6.121MiB / 2GiB       0.30%     4.82kB / 2.84kB   0B / 0B         7
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     7.965MiB / 2GiB       0.39%     4.73kB / 2.79kB   0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     0.00%     6.234MiB / 2GiB       0.30%     883kB / 403kB     0B / 0B         7
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     0.00%     6.77MiB / 2GiB        0.33%     888kB / 412kB     0B / 0B         7
6bb104f8ce95   peer0.org1.example.com                    1.11%     203.7MiB / 7.761GiB   2.56%     3.9MB / 3.07MB    0B / 3MB        13
6e91a7bbccde   peer0.org2.example.com                    1.12%     179.1MiB / 7.761GiB   2.25%     3.86MB / 2.43MB   0B / 3MB        14
938ea455601a   orderer0.example.com                      0.07%     30.21MiB / 7.761GiB   0.38%     2.22MB / 4.24MB   0B / 4.49MB     10
dc2f7c528ccf   couchdb.peer0.org1.example.com            0.25%     46.59MiB / 7.761GiB   0.59%     567kB / 591kB     0B / 3.87MB     41
3d5780825209   couchdb.peer0.org2.example.com            0.25%     46.76MiB / 7.761GiB   0.59%     561kB / 589kB     0B / 3.87MB     41
f249c28e8910   ca.org2.example.com                       0.00%     8.32MiB / 7.761GiB    0.10%     3.64kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com                       0.00%     8.289MiB / 7.761GiB   0.10%     3.59kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
3645df11fd05   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.879MiB / 2GiB       0.29%     4.34kB / 2.48kB   0B / 0B         6
b0b1c84cb1ec   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     4.04kB / 2.32kB   0B / 0B         7
e390d53a2ab5   dev-peer0.org2.example.com-simple-v0      0.00%     5.922MiB / 2GiB       0.29%     4.44kB / 2.64kB   0B / 0B         7
9bea8eac4eae   dev-peer0.org1.example.com-simple-v0      0.00%     6.047MiB / 2GiB       0.30%     4.32kB / 2.44kB   0B / 0B         7
39281915bd69   dev-peer0.org1.example.com-drm-v0         0.00%     6.121MiB / 2GiB       0.30%     4.88kB / 2.91kB   0B / 0B         7
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     7.965MiB / 2GiB       0.39%     4.8kB / 2.86kB    0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     2.27%     8.5MiB / 2GiB         0.42%     1.27MB / 463kB    0B / 0B         7
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     1.44%     8.75MiB / 2GiB        0.43%     1.3MB / 473kB     0B / 0B         7
6bb104f8ce95   peer0.org1.example.com                    21.28%    205.4MiB / 7.761GiB   2.58%     4.7MB / 4.25MB    0B / 3MB        13
6e91a7bbccde   peer0.org2.example.com                    21.30%    180.5MiB / 7.761GiB   2.27%     4.62MB / 2.99MB   0B / 3MB        14
938ea455601a   orderer0.example.com                      0.08%     30.21MiB / 7.761GiB   0.38%     2.22MB / 4.24MB   0B / 4.49MB     10
dc2f7c528ccf   couchdb.peer0.org1.example.com            18.36%    89.66MiB / 7.761GiB   1.13%     684kB / 627kB     0B / 3.87MB     41
3d5780825209   couchdb.peer0.org2.example.com            19.95%    90.82MiB / 7.761GiB   1.14%     672kB / 622kB     0B / 3.87MB     41
f249c28e8910   ca.org2.example.com                       0.00%     8.32MiB / 7.761GiB    0.10%     3.64kB / 5.94kB   221kB / 451kB   7
b57a63863c63   ca.org1.example.com                       0.00%     8.289MiB / 7.761GiB   0.10%     3.59kB / 5.89kB   0B / 446kB      8
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O       PIDS
3645df11fd05   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.879MiB / 2GiB       0.29%     4.34kB / 2.48kB   0B / 0B         6
b0b1c84cb1ec   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.746MiB / 2GiB       0.28%     4.04kB / 2.32kB   0B / 0B         7
e390d53a2ab5   dev-peer0.org2.example.com-simple-v0      0.00%     5.922MiB / 2GiB       0.29%     4.5kB / 2.71kB    0B / 0B         7
9bea8eac4eae   dev-peer0.org1.example.com-simple-v0      0.00%     6.047MiB / 2GiB       0.30%     4.38kB / 2.5kB    0B / 0B         7
39281915bd69   dev-peer0.org1.example.com-drm-v0         0.00%     6.121MiB / 2GiB       0.30%     4.92kB / 2.95kB   0B / 0B         7
f835099d2a5f   dev-peer0.org2.example.com-drm-v0         0.00%     7.965MiB / 2GiB       0.39%     4.84kB / 2.9kB    0B / 0B         7
6fde393c056f   dev-peer0.org1.example.com-marbles-v0     0.00%     10.65MiB / 2GiB       0.52%     1.49MB / 494kB    0B / 0B         7
b6b868ba65ad   dev-peer0.org2.example.com-marbles-v0     0.00%     10.73MiB / 2GiB       0.52%     1.5MB / 505kB     0B / 0B         7
6bb104f8ce95   peer0.org1.example.com                    0.75%     205.9MiB / 7.761GiB   2.59%     4.76MB / 4.59MB   0B / 3MB        13
