CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0755d869ac24   boring_bartik                    95.79%    92.04MiB / 7.761GiB   1.16%     766B / 0B         0B / 12.3MB   17
f7bf54b61539   vigorous_matsumoto               97.67%    106.5MiB / 7.761GiB   1.34%     876B / 0B         0B / 13.3MB   17
575c3f450217   peer0.org2.example.com           1.07%     45.02MiB / 7.761GiB   0.57%     70.6kB / 32.9kB   0B / 180kB    9
895434c2fb1f   peer0.org1.example.com           1.09%     44.27MiB / 7.761GiB   0.56%     71.8kB / 33.2kB   0B / 180kB    10
0137fc3e7918   orderer0.example.com             0.04%     14.42MiB / 7.761GiB   0.18%     15.2kB / 24.1kB   0B / 131kB    11
c90787f93a5d   couchdb.peer0.org2.example.com   0.24%     38.67MiB / 7.761GiB   0.49%     23.2kB / 22kB     0B / 762kB    41
e160581ade6e   ca.org1.example.com              0.00%     8.645MiB / 7.761GiB   0.11%     2.94kB / 5.94kB   0B / 446kB    8
fc96d82e2256   couchdb.peer0.org1.example.com   1.40%     37.82MiB / 7.761GiB   0.48%     24.4kB / 22.5kB   0B / 762kB    41
2994739737df   ca.org2.example.com              0.00%     8.438MiB / 7.761GiB   0.11%     2.83kB / 5.94kB   0B / 446kB    7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.04kB / 2.47kB   0B / 0B       7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     3.77kB / 2.18kB   0B / 0B       7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.41kB / 2.68kB   0B / 0B       7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.27kB / 2.42kB   0B / 0B       7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.72kB / 2.78kB   0B / 0B       7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     5.977MiB / 2GiB       0.29%     4.5kB / 2.5kB     0B / 0B       7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     2.64%     5.961MiB / 2GiB       0.29%     235kB / 118kB     0B / 0B       7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     1.75%     5.934MiB / 2GiB       0.29%     224kB / 100kB     0B / 0B       6
575c3f450217   peer0.org2.example.com                    15.43%    181.8MiB / 7.761GiB   2.29%     901kB / 617kB     0B / 643kB    13
895434c2fb1f   peer0.org1.example.com                    12.74%    200.9MiB / 7.761GiB   2.53%     906kB / 1.21MB    0B / 569kB    12
0137fc3e7918   orderer0.example.com                      3.77%     20.36MiB / 7.761GiB   0.26%     432kB / 778kB     0B / 946kB    11
c90787f93a5d   couchdb.peer0.org2.example.com            25.78%    42.52MiB / 7.761GiB   0.53%     131kB / 140kB     0B / 1.52MB   41
e160581ade6e   ca.org1.example.com                       0.13%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB    8
fc96d82e2256   couchdb.peer0.org1.example.com            24.18%    42.07MiB / 7.761GiB   0.53%     106kB / 123kB     0B / 1.43MB   41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB    7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.04kB / 2.47kB   0B / 0B       7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.02%     5.965MiB / 2GiB       0.29%     3.77kB / 2.18kB   0B / 0B       7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.00%     5.93MiB / 2GiB        0.29%     4.41kB / 2.68kB   0B / 0B       7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.00%     6.598MiB / 2GiB       0.32%     4.27kB / 2.42kB   0B / 0B       7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.79kB / 2.85kB   0B / 0B       7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     5.977MiB / 2GiB       0.29%     4.57kB / 2.57kB   0B / 0B       7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     3.02%     6.238MiB / 2GiB       0.30%     761kB / 358kB     0B / 0B       7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     3.91%     6.473MiB / 2GiB       0.32%     790kB / 379kB     0B / 0B       6
575c3f450217   peer0.org2.example.com                    16.41%    196.6MiB / 7.761GiB   2.47%     2.84MB / 1.83MB   0B / 1.22MB   14
895434c2fb1f   peer0.org1.example.com                    16.24%    202.2MiB / 7.761GiB   2.54%     2.92MB / 2.52MB   0B / 1.16MB   14
0137fc3e7918   orderer0.example.com                      5.79%     26.19MiB / 7.761GiB   0.33%     1.57MB / 2.95MB   0B / 3.2MB    11
c90787f93a5d   couchdb.peer0.org2.example.com            17.78%    44.34MiB / 7.761GiB   0.56%     345kB / 365kB     0B / 2.21MB   41
e160581ade6e   ca.org1.example.com                       0.00%     8.645MiB / 7.761GiB   0.11%     3.41kB / 5.94kB   0B / 446kB    8
fc96d82e2256   couchdb.peer0.org1.example.com            16.85%    46.91MiB / 7.761GiB   0.59%     333kB / 354kB     0B / 2.06MB   41
2994739737df   ca.org2.example.com                       0.00%     8.438MiB / 7.761GiB   0.11%     3.31kB / 5.94kB   0B / 446kB    7
CONTAINER ID   NAME                                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
eeb47751e0f9   dev-peer0.org1.example.com-smallbank-v0   0.00%     5.934MiB / 2GiB       0.29%     4.04kB / 2.47kB   0B / 0B           7
38e68ce31561   dev-peer0.org2.example.com-smallbank-v0   0.00%     5.965MiB / 2GiB       0.29%     3.77kB / 2.18kB   0B / 0B           7
7b717ceb1c9f   dev-peer0.org1.example.com-simple-v0      0.01%     5.93MiB / 2GiB        0.29%     4.47kB / 2.75kB   0B / 0B           7
7ef4eb5b47e1   dev-peer0.org2.example.com-simple-v0      0.01%     6.598MiB / 2GiB       0.32%     4.34kB / 2.49kB   0B / 0B           7
581495558d9e   dev-peer0.org1.example.com-drm-v0         0.00%     6.012MiB / 2GiB       0.29%     4.79kB / 2.85kB   0B / 0B           7
7e50ec8c6191   dev-peer0.org2.example.com-drm-v0         0.00%     5.977MiB / 2GiB       0.29%     4.57kB / 2.57kB   0B / 0B           7
08edc342b58a   dev-peer0.org2.example.com-marbles-v0     1.98%     6.918MiB / 2GiB       0.34%     1.29MB / 592kB    0B / 0B           7
fc30a6d7d8c9   dev-peer0.org1.example.com-marbles-v0     1.01%     7.664MiB / 2GiB       0.37%     1.29MB / 592kB    0B / 0B           7
